id,nome,categoriaId,organizationId
1,Blusa infantil M,1,org-1
2,Blusa infantil G,1,org-1
3,Calça jeans infantil 36,1,org-1
4,Vestido festa infantil,1,org-1
5,Camisa social branca,1,org-1
6,Casaco inverno adulto P,1,org-1
7,Saia rodada 40,1,org-1
8,Macacão bebê recém-nascido,1,org-1
9,Meias algodão pares,1,org-1
10,Jaqueta jeans adulto M,1,org-1
11,Shorts jeans 38,1,org-1
12,Blusa manga longa infantil,1,org-1
13,Calça moletom 42,1,org-1
14,Vestido verão floral,1,org-1
15,Casaco infantil 10 anos,1,org-1
16,Conjunto lingerie,1,org-1
17,Cuecas caixa 6 unidades,1,org-1
18,Sutiã numeração 36,1,org-1
19,Camiseta básica preta G,1,org-1
20,Calça social cinza 44,1,org-1
21,Tenis casual 38,3,org-1
22,Sapato social feminino 36,3,org-1
23,Sandália plataforma 40,3,org-1
24,Tênis esportivo 42,3,org-1
25,Chinelo borracha 34,3,org-1
26,Botina couro 38,3,org-1
27,Sapato infantil 28,3,org-1
28,Tênis corrida 44,3,org-1
29,Sandália feminina salto 39,3,org-1
30,Bota cano longo 40,3,org-1
31,Tênis escolar 35,3,org-1
32,Sapato masculino social 42,3,org-1
33,Meia calça preta,3,org-1
34,Cadeira de jantar madeira,4,org-1
35,Mesa de centro vidro,4,org-1
36,Guarda-roupa 3 portas,4,org-1
37,Sofá 3 lugares tecido,4,org-1
38,Cama casal 190cm,4,org-1
39,Comodê 3 gavetas,4,org-1
40,Estante livros 5 prateleiras,4,org-1
41,Mesa de escritório branca,4,org-1
42,Poltrona conforto bege,4,org-1
43,Cama de solteiro 150cm,4,org-1
44,Guarda-roupa 2 portas,4,org-1
45,Cadeira escritório giratória,4,org-1
46,Mesa de jantar 6 lugares,4,org-1
47,Armário cozinha 2 portas,4,org-1
48,Mesa de cabeceira,4,org-1
49,Frigideira antiaderente 24cm,8,org-1
50,Jogo panela 5 peças,8,org-1
51,Tigela vidro conjunto 6,8,org-1
52,Talheres aço inox 48 peças,8,org-1
53,Prato raso cerâmica 12,8,org-1
54,Xícara café porcelana 6,8,org-1
55,Servente madeira 3 peças,8,org-1
56,Jogo de copos 12 unidades,8,org-1
57,Forno microondas 30L,5,org-1
58,Liquidificador 500W,5,org-1
59,Ferro de passar a vapor,5,org-1
60,Batedeira planetária,5,org-1
61,Torradeira automática,5,org-1
62,Cafeteira elétrica 10 xícaras,5,org-1
63,Forno elétrico portátil,5,org-1
64,Chaleira elétrica 1.5L,5,org-1
65,Aspirador de pó vertical,5,org-1
66,Ventilador de teto 3 pás,5,org-1
67,Ar condicionado split 9000 BTUs,5,org-1
68,Ferro a vapor 1200W,5,org-1
69,Batedeira de mão 400W,5,org-1
70,Purificador de água,5,org-1
71,Panela pressão 4L,5,org-1
72,Bíblia Sagrada,6,org-1
73,Dicionário português,6,org-1
74,Coleção completa Harry Potter,6,org-1
75,Livro infantil Chapeuzinho Vermelho,6,org-1
76,Romance bestseller,6,org-1
77,Livro didático matemática,6,org-1
78,Enciclopédia infantil 5 volumes,6,org-1
79,Coletânea de contos,6,org-1
80,Livro receitas tradicionais,6,org-1
81,Álbum de fotografias,6,org-1
82,Biblioteca portátil Kindle,6,org-1
83,Livro autoajuda sucesso,6,org-1
84,Revista antiga coleção,6,org-1
85,Livro história do Brasil,6,org-1
86,Boneca boneca de pano,7,org-1
87,Jogo de bola de futebol,7,org-1
88,Carrinho de controle remoto,7,org-1
89,Quebra-cabeça 1000 peças,7,org-1
90,Boneco ação super-herói,7,org-1
91,Jogo de tabuleiro família,7,org-1
92,Bola de gude conjunto 50,7,org-1
93,Pipa varal completo,7,org-1
94,Escorregador plástico,7,org-1
95,Bicicleta infantil 12 polegadas,7,org-1
96,Jogo de montar blocos 200 peças,7,org-1
97,Fantasia princesa completa,7,org-1
98,Patinete dobrável,7,org-1
99,Jogo de cartas crianças,7,org-1
100,Sabonete artesanal,9,org-1
101,Shampoo cabelo longo,9,org-1
102,Condicionador nutrição profunda,9,org-1
103,Pasta de dente flúor 90g,9,org-1
104,Escova dentes macia,9,org-1
105,Desodorante roll-on,9,org-1
106,Creme hidratante corporal,9,org-1
107,Sabão em pó 1kg,9,org-1
108,Amaciante tecido 500ml,9,org-1
109,Detergente líquido 500ml,9,org-1
110,Esponja cozinha 10 unidades,9,org-1
111,Pano limpeza microfibra,9,org-1
112,Escova banheiro completa,9,org-1
113,Papel higiênico 12 rolos,9,org-1
114,Absorvente íntimo 36 unidades,9,org-1
